time_ms,value,temperature_C
3742,255,24.50
3882,256,24.50
4024,256,24.50
4165,256,24.50
4307,255,24.50
4449,256,24.50
4591,255,24.50
4733,256,24.50
4875,256,24.50
5016,256,24.50
5158,256,24.50
5300,256,24.50
5446,255,24.50
5588,256,24.50
5730,255,24.50
5872,257,24.50
6014,257,24.50
6155,256,24.50
6297,256,24.50
6439,256,24.50
6581,256,24.50
6723,255,24.50
6864,255,24.50
7006,257,24.50
7148,256,24.50
7290,256,24.50
7432,257,24.50
7574,256,24.50
7715,256,24.50
7857,255,24.50
7999,255,24.50
8143,256,24.50
8285,256,24.50
8427,256,24.50
8569,256,24.50
8711,256,24.50
8853,256,24.50
8995,256,24.50
9137,256,24.50
9281,256,24.50
9422,255,24.50
9564,255,24.50
9706,256,24.50
9848,255,24.50
9990,256,24.50
10132,256,24.50
10274,256,24.50
10416,256,24.50
10558,256,24.50
10700,256,24.50
10842,256,24.50
10984,256,24.50
11125,256,24.50
11267,255,24.50
11409,255,24.50
11551,256,24.50
11693,255,24.50
11835,256,24.50
11977,256,24.50
12119,256,24.50
12261,256,24.50
12403,256,24.50
12548,256,24.50
12689,256,24.50
12831,256,24.50
12973,256,24.50
13115,256,24.50
13259,256,24.50
13401,257,24.50
13543,255,24.50
13685,256,24.50
13827,255,24.50
13969,256,24.50
14111,257,24.50
14253,256,24.50
14394,256,24.50
14536,256,24.50
14678,256,24.50
14820,256,24.50
14962,256,24.50
15104,255,24.50
15246,256,24.50
15388,256,24.50
15530,256,24.50
15672,256,24.50
15814,255,24.50
15956,256,24.50
16098,256,24.50
16240,255,24.50
16382,255,24.50
16523,256,24.50
16665,256,24.50
16810,256,24.50
16952,256,24.50
17095,255,24.50
17237,255,24.50
17379,257,24.50
17521,256,24.50
17663,256,24.50
17805,255,24.50
17947,255,24.50
18089,256,24.50
18231,256,24.50
18373,256,24.50
18515,256,24.50
18657,256,24.50
18798,256,24.50
18940,256,24.50
19082,256,24.50
19224,256,24.50
19366,256,24.50
19508,255,24.50
19650,256,24.50
19792,256,25.00
19934,256,24.50
20076,256,24.50
20217,256,24.50
20359,256,24.50
20501,256,24.50
20643,256,24.50
20785,256,24.50
20927,255,24.50
21074,256,24.50
21215,256,24.50
21357,256,24.50
21499,256,25.00
21641,255,24.50
21783,256,25.00
21925,256,24.50
22067,256,24.50
22209,255,24.50
22351,256,25.00
22493,256,25.00
22635,256,24.50
22776,256,24.50
22918,256,24.50
23060,255,25.00
23202,256,25.00
23344,256,24.50
23486,256,25.00
23628,255,24.50
23770,256,25.00
23912,256,25.00
24054,255,24.50
24196,255,24.50
24337,256,25.00
24479,255,25.00
24621,256,25.00
24763,256,25.00
24905,256,25.00
25049,255,24.50
25191,256,25.00
25335,256,25.00
25477,255,25.00
25619,255,25.00
25761,256,25.00
25903,256,24.50
26045,255,25.00
26187,256,25.00
26329,256,24.50
26471,256,25.00
26613,256,24.50
26755,255,25.00
26896,256,25.00
27038,257,24.50
27180,256,25.00
27322,256,24.50
27464,256,25.00
27606,256,25.00
27748,255,24.50
27890,256,25.00
28032,256,25.00
28174,256,25.00
28316,256,25.00
28458,255,25.00
28600,256,25.00
28742,256,25.00
28885,256,25.00
29027,255,25.00
29169,255,24.50
29311,255,25.00
29453,256,25.00
29598,256,25.00
29740,256,25.00
29882,255,25.00
30023,256,25.00
30165,256,25.00
30307,255,25.00
30449,256,25.00
30591,256,25.00
30733,256,25.00
30875,256,25.00
31017,256,25.00
31159,256,25.00
31301,256,25.00
31443,256,25.00
31585,256,25.00
31727,256,25.00
31869,256,25.00
32011,256,25.00
32152,256,25.00
32294,256,25.00
32436,256,25.00
32578,256,25.00
32720,255,25.00
32864,255,25.00
33006,256,25.00
33147,256,25.00
33289,255,25.00
33431,256,25.00
33573,256,25.00
33715,256,25.00
33860,255,25.00
34002,256,25.00
34143,255,25.00
34285,256,25.00
34427,255,25.00
34569,255,25.00
34711,256,25.00
34852,256,25.00
34994,257,25.00
35136,256,25.00
35278,256,25.00
35419,256,25.00
35561,256,25.00
35703,255,25.00
35845,257,25.00
35987,256,25.00
36128,256,25.00
36270,256,25.00
36412,256,25.00
36554,256,25.00
36698,255,25.00
36839,256,25.00
36981,256,25.00
37123,256,25.00
37265,256,25.00
37406,256,25.00
37548,256,25.00
37690,256,25.00
37832,256,25.00
37974,256,25.00
38118,255,25.00
38260,257,25.00
38402,256,25.00
38543,256,25.00
38685,255,25.00
38827,256,25.00
38969,256,25.00
39111,255,25.00
39252,256,25.00
39394,256,25.00
39536,256,25.00
39678,256,25.00
39819,256,25.00
39961,257,25.00
40103,255,25.00
40245,255,25.00
40387,256,25.00
40529,256,25.00
40672,256,25.00
40814,256,25.00
